timeframe,sep_pct,direction,sl_kind,sl_val,is_trades,is_wr,is_pf,is_net,is_avg_pct,oos_trades,oos_wr,oos_pf,oos_net,oos_avg_pct
5m,5.0,long only,Percent,8.0,91,51.65,0.567,-10691.88,-1.1749,12,58.33,0.495,-1641.25,-1.3677
5m,5.0,short only,Percent,8.0,47,48.94,0.653,-3408.09,-0.7251,4,50.0,1.988,153.11,0.3828
5m,5.0,both,1R to TP,,147,48.3,0.58,-15347.29,-1.044,18,50.0,0.568,-1527.69,-0.8487
5m,5.0,long only,1R to TP,,95,50.53,0.585,-10105.03,-1.0637,14,50.0,0.503,-1680.8,-1.2006
5m,5.0,short only,1R to TP,,52,44.23,0.569,-5242.25,-1.0081,4,50.0,1.988,153.11,0.3828
5m,5.0,both,ATR,1.0,283,14.49,0.639,-10311.54,-0.3644,23,21.74,1.17,248.66,0.1081
5m,5.0,long only,ATR,1.0,187,14.44,0.596,-8307.4,-0.4442,18,27.78,1.409,495.9,0.2755
5m,5.0,short only,ATR,1.0,96,14.58,0.748,-2004.14,-0.2088,5,0.0,0.0,-247.24,-0.4945
5m,5.0,both,ATR,1.5,236,19.49,0.635,-11592.33,-0.4912,21,28.57,1.303,461.68,0.2198
5m,5.0,long only,ATR,1.5,157,19.75,0.592,-9422.16,-0.6001,16,37.5,1.684,805.99,0.5037
5m,5.0,short only,ATR,1.5,79,18.99,0.748,-2170.16,-0.2747,5,0.0,0.0,-344.31,-0.6886
5m,5.0,both,ATR,2.0,202,26.73,0.687,-9898.88,-0.49,20,30.0,1.088,160.09,0.08
5m,5.0,long only,ATR,2.0,134,26.87,0.639,-8224.17,-0.6137,15,40.0,1.435,601.46,0.401
5m,5.0,short only,ATR,2.0,68,26.47,0.81,-1674.71,-0.2463,5,0.0,0.0,-441.37,-0.8827
5m,5.0,both,ATR,3.0,178,32.02,0.573,-15855.59,-0.8908,19,42.11,0.97,-69.7,-0.0367
5m,5.0,long only,ATR,3.0,115,33.04,0.557,-11449.88,-0.9956,15,46.67,1.058,111.77,0.0745
5m,5.0,short only,ATR,3.0,63,30.16,0.609,-4405.7,-0.6993,4,25.0,0.585,-181.47,-0.4537
5m,5.0,both,ATR,4.0,161,38.51,0.564,-16583.1,-1.03,19,42.11,0.737,-816.59,-0.4298
5m,5.0,long only,ATR,4.0,105,39.05,0.545,-12090.82,-1.1515,15,46.67,0.803,-499.71,-0.3331
5m,5.0,short only,ATR,4.0,56,37.5,0.606,-4492.29,-0.8022,4,25.0,0.447,-316.88,-0.7922
15m,0.15,both,Percent,0.625,4605,29.25,0.556,-97699.69,-0.2122,3253,41.53,0.689,-37074.53,-0.114
15m,0.15,long only,Percent,0.625,2063,30.39,0.617,-36660.1,-0.1777,1577,40.77,0.723,-16058.0,-0.1018
15m,0.15,short only,Percent,0.625,2542,28.32,0.509,-61039.59,-0.2401,1676,42.24,0.658,-21016.53,-0.1254
15m,0.15,both,Percent,1.5,3217,45.45,0.658,-74956.6,-0.233,2345,56.76,0.743,-28435.59,-0.1213
15m,0.15,long only,Percent,1.5,1487,45.93,0.721,-27795.25,-0.1869,1143,56.34,0.79,-11427.03,-0.1
15m,0.15,short only,Percent,1.5,1730,45.03,0.604,-47161.35,-0.2726,1202,57.15,0.698,-17008.56,-0.1415
15m,0.15,both,Percent,3.0,2566,55.46,0.67,-67742.18,-0.264,1958,61.9,0.764,-22572.13,-0.1153
15m,0.15,long only,Percent,3.0,1192,56.29,0.744,-23971.89,-0.2011,957,61.86,0.798,-9675.65,-0.1011
15m,0.15,short only,Percent,3.0,1374,54.73,0.607,-43770.3,-0.3186,1001,61.94,0.73,-12896.48,-0.1288
15m,0.15,both,Percent,5.0,2281,58.53,0.635,-69742.34,-0.3058,1830,63.01,0.719,-26242.74,-0.1434
15m,0.15,long only,Percent,5.0,1064,60.43,0.725,-23972.6,-0.2253,894,62.86,0.747,-12014.94,-0.1344
15m,0.15,short only,Percent,5.0,1217,56.86,0.559,-45769.74,-0.3761,936,63.14,0.69,-14227.8,-0.152
15m,0.15,both,Percent,8.0,2121,59.74,0.601,-70652.91,-0.3331,1750,63.03,0.673,-29427.55,-0.1682
15m,0.15,long only,Percent,8.0,984,61.38,0.703,-23085.34,-0.2346,848,63.09,0.726,-11817.32,-0.1394
15m,0.15,short only,Percent,8.0,1137,58.31,0.522,-47567.57,-0.4184,902,62.97,0.625,-17610.23,-0.1952
15m,0.15,both,1R to TP,,3268,39.57,0.651,-72567.74,-0.2221,2697,47.2,0.735,-29538.22,-0.1095
15m,0.15,long only,1R to TP,,1500,40.4,0.697,-29592.72,-0.1973,1301,47.27,0.752,-14124.75,-0.1086
15m,0.15,short only,1R to TP,,1768,38.86,0.611,-42975.01,-0.2431,1396,47.13,0.719,-15413.48,-0.1104
15m,0.15,both,ATR,1.0,5302,24.88,0.53,-118944.12,-0.2243,4493,27.87,0.636,-45131.88,-0.1004
15m,0.15,long only,ATR,1.0,2284,27.36,0.608,-44350.5,-0.1942,2105,28.41,0.686,-18730.67,-0.089
